10, 39
11, 42
12, 42
13, 41
14, 50
15, 43
16, 49
17, 45
18, 54
19, 37
20, 29
21, 32
22, 29
23, 39
24, 22
25, 41
26, 40
27, 43
28, 37
29, 43
30, 46
31, 29
32, 37
33, 32
34, 38
35, 31
36, 38
37, 34
38, 25
39, 34
40, 28
41, 24
42, 24
43, 23
44, 28
45, 54
46, 22
47, 18
48, 27
49, 28
50, 46
51, 28
52, 28
53, 26
54, 22
55, 39
56, 29
57, 23
58, 28
59, 23
6, 33
60, 45
61, 29
62, 21
63, 38
64, 25
65, 30
66, 20
67, 29
68, 27
69, 43
7, 57
70, 17
71, 20
72, 26
73, 22
74, 43
75, 21
76, 30
77, 30
78, 39
79, 23
8, 44
80, 30
81, 24
82, 43
83, 21
84, 29
85, 32
86, 38
87, 23
88, 27
89, 14
9, 52
90, 40
91, 35
92, 30
93, 22
94, 20
95, 27
96, 20
97, 55
98, 18
99, 22
