10, 31
11, 17
12, 21
13, 17
14, 20
15, 19
16, 9
17, 10
18, 10
19, 9
20, 8
21, 12
22, 7
23, 8
24, 7
25, 6
26, 5
27, 7
28, 7
29, 9
30, 4
31, 5
32, 5
33, 6
34, 3
35, 4
36, 6
37, 5
38, 5
39, 3
40, 3
41, 3
42, 3
43, 3
44, 3
45, 2
46, 4
47, 4
48, 2
49, 2
5, 71
50, 3
51, 2
52, 2
53, 3
54, 2
55, 2
56, 2
57, 2
58, 2
59, 2
6, 37
60, 2
61, 3
62, 2
63, 1
64, 2
65, 2
66, 2
67, 2
68, 1
69, 2
7, 32
70, 2
71, 1
72, 1
73, 2
74, 2
75, 2
76, 2
77, 1
78, 2
79, 2
8, 24
80, 2
81, 2
82, 2
83, 1
84, 1
85, 2
86, 3
87, 2
88, 1
89, 1
9, 32
90, 1
91, 1
92, 1
93, 1
94, 1
95, 2
96, 2
97, 2
98, 1
99, 0
